lat,lon,value,geometry
-38.026148399497174,144.96151482353076,19,POINT (144.96151482353076 -38.026148399497174)
-37.80871977229708,145.1479922284423,4,POINT (145.1479922284423 -37.80871977229708)
-37.95739358079968,145.11376970731433,22,POINT (145.11376970731433 -37.95739358079968)
-37.93994658331125,144.96539671542905,30,POINT (144.96539671542905 -37.93994658331125)
-38.02059925147736,144.8811144138996,4,POINT (144.8811144138996 -38.02059925147736)
-37.87885561530286,145.11229956390088,48,POINT (145.11229956390088 -37.87885561530286)
-38.060453100914344,144.80331436749694,36,POINT (144.80331436749694 -38.060453100914344)
-37.96850697683207,144.9760072066196,20,POINT (144.9760072066196 -37.96850697683207)
-37.80623460158905,144.95289035473002,21,POINT (144.95289035473002 -37.80623460158905)
-37.88024502055819,144.91423933179416,90,POINT (144.91423933179416 -37.88024502055819)
-37.82804506773312,144.87557901391963,22,POINT (144.87557901391963 -37.82804506773312)
-37.798412352196394,144.99472599748964,51,POINT (144.99472599748964 -37.798412352196394)
-37.9924343418894,144.97282179353547,73,POINT (144.97282179353547 -37.9924343418894)
-37.862378013631414,145.1563301780691,4,POINT (145.1563301780691 -37.862378013631414)
-37.79496142566692,144.71798267712836,60,POINT (144.71798267712836 -37.79496142566692)
-38.06581599945802,144.6307024337281,74,POINT (144.6307024337281 -38.06581599945802)
-37.87850892709809,144.97745746536097,69,POINT (144.97745746536097 -37.87850892709809)
-37.88711908000487,144.86147825651992,83,POINT (144.86147825651992 -37.88711908000487)
-37.98887457159884,145.11370781206168,80,POINT (145.11370781206168 -37.98887457159884)
-38.06298402854757,145.03951141201978,9,POINT (145.03951141201978 -38.06298402854757)
-38.002700716775415,144.76963539661446,0,POINT (144.76963539661446 -38.002700716775415)
-37.885112083091656,144.96109293924675,5,POINT (144.96109293924675 -37.885112083091656)
-37.71769589772431,144.87658324220334,86,POINT (144.87658324220334 -37.71769589772431)
-37.901041910606544,145.35606403805596,35,POINT (145.35606403805596 -37.901041910606544)
-37.87228305989346,145.13229544968806,81,POINT (145.13229544968806 -37.87228305989346)
-38.041849197130205,144.790403780345,51,POINT (144.790403780345 -38.041849197130205)
-37.84147663476637,144.86198125484148,2,POINT (144.86198125484148 -37.84147663476637)
-37.911020203575,145.23437460605575,89,POINT (145.23437460605575 -37.911020203575)
-37.86088644827221,144.88614090169642,8,POINT (144.88614090169642 -37.86088644827221)
-37.84792372129911,144.94428295720888,39,POINT (144.94428295720888 -37.84792372129911)
-37.98051063155424,144.8457218969951,57,POINT (144.8457218969951 -37.98051063155424)
-37.95215949381422,144.98877548740126,9,POINT (144.98877548740126 -37.95215949381422)
-37.97073070954968,144.99055608015965,24,POINT (144.99055608015965 -37.97073070954968)
-37.866142684677044,144.8624708449183,45,POINT (144.8624708449183 -37.866142684677044)
-38.04936766193591,144.9183203057311,19,POINT (144.9183203057311 -38.04936766193591)
-37.904195782672545,144.95638141969636,74,POINT (144.95638141969636 -37.904195782672545)
-38.09916404516666,145.3500593075686,91,POINT (145.3500593075686 -38.09916404516666)
-37.98870193617089,144.89574533935115,18,POINT (144.89574533935115 -37.98870193617089)
-37.82552448299827,144.82290914263302,8,POINT (144.82290914263302 -37.82552448299827)
-38.03104852993265,144.87046941023928,7,POINT (144.87046941023928 -38.03104852993265)
-37.96120920288508,144.99556870616783,62,POINT (144.99556870616783 -37.96120920288508)
-38.05721478752,145.1751031764042,73,POINT (145.1751031764042 -38.05721478752)
-37.907430046486624,145.0946387921718,40,POINT (145.0946387921718 -37.907430046486624)
-37.89143876661864,145.2293106518703,79,POINT (145.2293106518703 -37.89143876661864)
-37.839535398653304,144.87536371489313,33,POINT (144.87536371489313 -37.839535398653304)
-38.03099147849875,144.77372106639163,58,POINT (144.77372106639163 -38.03099147849875)
-38.04964924093609,144.67472651865128,98,POINT (144.67472651865128 -38.04964924093609)
-38.05356551550481,144.8539889060053,28,POINT (144.8539889060053 -38.05356551550481)
-37.81629091454,145.09759470247042,47,POINT (145.09759470247042 -37.81629091454)
-37.99126602357692,144.85524778203018,45,POINT (144.85524778203018 -37.99126602357692)
-38.02903950641444,144.98222979322412,44,POINT (144.98222979322412 -38.02903950641444)
-37.8933851989855,144.90108080419625,55,POINT (144.90108080419625 -37.8933851989855)
-38.02052699508944,145.06322177462098,9,POINT (145.06322177462098 -38.02052699508944)
-37.938741838599164,144.67593642245012,39,POINT (144.67593642245012 -37.938741838599164)
-38.16361494157323,144.72434258702847,69,POINT (144.72434258702847 -38.16361494157323)
-37.86604137338244,145.02989161058417,0,POINT (145.02989161058417 -37.86604137338244)
-37.952331288850466,144.95243296808093,50,POINT (144.95243296808093 -37.952331288850466)
-37.78105663128781,144.5849038319537,64,POINT (144.5849038319537 -37.78105663128781)
-37.87791157361023,145.35936811585518,29,POINT (145.35936811585518 -37.87791157361023)
-37.85906184287492,144.8290902228326,29,POINT (144.8290902228326 -37.85906184287492)
-38.003137321859924,144.92516416782016,88,POINT (144.92516416782016 -38.003137321859924)
-37.90230096139105,145.38328293611426,1,POINT (145.38328293611426 -37.90230096139105)
-37.929283151284245,144.71858921163812,61,POINT (144.71858921163812 -37.929283151284245)
-37.90188413475053,145.32427947942156,91,POINT (145.32427947942156 -37.90188413475053)
-38.010379180141264,144.74917444937896,21,POINT (144.74917444937896 -38.010379180141264)
-37.859337258480075,144.9618003257904,47,POINT (144.9618003257904 -37.859337258480075)
-37.889859619386606,144.90637757356404,90,POINT (144.90637757356404 -37.889859619386606)
-37.952250383721136,144.90274720595906,83,POINT (144.90274720595906 -37.952250383721136)
-38.032165632256294,144.6612234227046,12,POINT (144.6612234227046 -38.032165632256294)
-37.958190215278535,145.24202099602454,73,POINT (145.24202099602454 -37.958190215278535)
-37.79360578489914,144.89124547862826,86,POINT (144.89124547862826 -37.79360578489914)
-37.90933407553866,145.01932689910845,86,POINT (145.01932689910845 -37.90933407553866)
-38.04498709060164,144.64980462758402,15,POINT (144.64980462758402 -38.04498709060164)
-37.95363916280018,144.7973833399739,81,POINT (144.7973833399739 -37.95363916280018)
-38.020165431226516,144.97898877566843,75,POINT (144.97898877566843 -38.020165431226516)
-37.97910818511595,144.86326973323727,45,POINT (144.86326973323727 -37.97910818511595)
-37.86614862995078,145.30101458267345,58,POINT (145.30101458267345 -37.86614862995078)
-38.02367329161314,145.01935916377948,52,POINT (145.01935916377948 -38.02367329161314)
-37.941615263865316,145.10866434183572,3,POINT (145.10866434183572 -37.941615263865316)
-37.814153320901895,144.99947253981793,52,POINT (144.99947253981793 -37.814153320901895)
-37.80951259080766,144.9106936813078,69,POINT (144.9106936813078 -37.80951259080766)
-37.946326754561106,144.9350607009812,12,POINT (144.9350607009812 -37.946326754561106)
-38.02373884416174,144.55856977932208,19,POINT (144.55856977932208 -38.02373884416174)
-38.029287857478366,144.96707144989227,82,POINT (144.96707144989227 -38.029287857478366)
-37.96748528164922,145.07644489403143,10,POINT (145.07644489403143 -37.96748528164922)
-37.88849042953271,144.9838453797486,16,POINT (144.9838453797486 -37.88849042953271)
-37.8629203927298,145.11921811998351,14,POINT (145.11921811998351 -37.8629203927298)
-38.024832599358,145.01681748601845,47,POINT (145.01681748601845 -38.024832599358)
-37.951678907039614,145.09783823850105,2,POINT (145.09783823850105 -37.951678907039614)
-37.840141903495145,145.16852786261535,40,POINT (145.16852786261535 -37.840141903495145)
-38.03194483716771,144.8085814324352,43,POINT (144.8085814324352 -38.03194483716771)
-38.0643735046793,145.09091592579733,33,POINT (145.09091592579733 -38.0643735046793)
-37.89555203413191,145.12418975876867,5,POINT (145.12418975876867 -37.89555203413191)
-37.929912695062306,144.76040541341493,22,POINT (144.76040541341493 -37.929912695062306)
-38.00409515435099,144.89015382298396,95,POINT (144.89015382298396 -38.00409515435099)
-38.017575822974415,145.17958178516952,40,POINT (145.17958178516952 -38.017575822974415)
-38.011144385209775,145.13342694764052,88,POINT (145.13342694764052 -38.011144385209775)
-37.86316341337593,144.7637698378678,31,POINT (144.7637698378678 -37.86316341337593)
-37.7716220599725,144.8198858121572,5,POINT (144.8198858121572 -37.7716220599725)
-37.890903654390996,144.9551195031869,65,POINT (144.9551195031869 -37.890903654390996)
-37.931879463829794,144.77177724205006,75,POINT (144.77177724205006 -37.931879463829794)
-37.905319870007844,144.8707397414264,48,POINT (144.8707397414264 -37.905319870007844)
-37.864700473760905,145.0346318244037,2,POINT (145.0346318244037 -37.864700473760905)
-37.944958195378724,144.99057923156585,91,POINT (144.99057923156585 -37.944958195378724)
-38.04566121746497,144.85571046931295,11,POINT (144.85571046931295 -38.04566121746497)
-37.89569205508709,145.00094912815283,18,POINT (145.00094912815283 -37.89569205508709)
-37.99987981114721,144.93010321266527,74,POINT (144.93010321266527 -37.99987981114721)
-37.976302036015085,144.80395723318824,36,POINT (144.80395723318824 -37.976302036015085)
-37.8795744111184,145.0322010920973,89,POINT (145.0322010920973 -37.8795744111184)
-37.95880010755836,144.89254997939128,80,POINT (144.89254997939128 -37.95880010755836)
-37.90568255140998,144.79902439648018,92,POINT (144.79902439648018 -37.90568255140998)
-37.952480618694935,144.83782146081214,89,POINT (144.83782146081214 -37.952480618694935)
-37.79875202649788,145.1403618594031,23,POINT (145.1403618594031 -37.79875202649788)
